Hierarchy,Leaf,Description,Source / Example,
Remember -> Recognition -> Activity Recognition,Professions,"This task evaluates the VLM's ability to precisely identify and recall 'Professions' within a complex visual environment. It focuses on the model's capacity for fine-grained recognition, requiring it to differentiate 'Professions' from similar objects and background noise based on distinct visual features and learned categories.","Image Context: A high-resolution, busy scene where 'Professions' is integrated into the environment (e.g., on a shelf, in a crowd, or as part of a landscape). The visibility might be slightly challenging due to lighting or perspective.

Question: Based on a detailed scan of the image, which of the following accurately describes the specific 'Professions' present in the scene?

(A) It is the primary subject in the foreground with no obstructions.

(B) It is a secondary object located in the middle-ground, partially occluded by another element.

(C) It appears multiple times in different variations across the scene.

(D) The object labeled as 'Professions' is actually a visually similar but different category.",
Remember -> Recognition,Relation Among Objects,"This task evaluates the VLM's ability to precisely identify and recall 'Relation Among Objects' within a complex visual environment. It focuses on the model's capacity for fine-grained recognition, requiring it to differentiate 'Relation Among Objects' from similar objects and background noise based on distinct visual features and learned categories.","Image Context: A high-resolution, busy scene where 'Relation Among Objects' is integrated into the environment (e.g., on a shelf, in a crowd, or as part of a landscape). The visibility might be slightly challenging due to lighting or perspective.

Question: Based on a detailed scan of the image, which of the following accurately describes the specific 'Relation Among Objects' present in the scene?

(A) It is the primary subject in the foreground with no obstructions.

(B) It is a secondary object located in the middle-ground, partially occluded by another element.

(C) It appears multiple times in different variations across the scene.

(D) The object labeled as 'Relation Among Objects' is actually a visually similar but different category.",
Understand -> Compositional Object Recognition -> Core Object Recognition,Technology & Electronics,"Evaluates the VLM's ability to interpret the operational state or functional context of electronic devices. It requires understanding what a device is currently doing (e.g., charging, displaying an error, or being used for a specific task).","""Image Context: A smartphone on a nightstand with a glowing green battery icon and a '100%' text overlay. Question: Based on the visual indicators on the device, what is its current power status? (A) It is actively charging but low. (B) It has completed its charging cycle. (C) It is powered off. (D) It is displaying a system failure warning.",
Understand -> Compositional Object Recognition -> Core Object Recognition,Artifacts,"This task measures the model's comprehension of the semantic and contextual meaning of 'Artifacts'. It requires the VLM to interpret how 'Artifacts' interacts with its surroundings or how it represents a concept beyond simple object labeling, involving translation between visual cues and higher-level descriptions.","Image Context: A scene where 'Artifacts' is shown in a specific state or relationship (e.g., a person's expression reacting to an event, or an object placed in a symbolic arrangement). The meaning is derived from the interaction of multiple elements.

Question: Considering the overall context and the specific role of 'Artifacts' in this image, what is the most accurate conclusion about its significance?

(A) It serves a purely functional role with no impact on the scene's narrative.

(B) Its current state or position provides a key cue to the underlying message or emotion being conveyed.

(C) It represents a direct contradiction to the typical use of such an item in this setting.

(D) It is an auxiliary detail that provides environmental context but no semantic information.",
Understand -> Compositional Object Recognition -> Core Object Recognition,Food & Beverage,"This task measures the model's comprehension of the semantic and contextual meaning of 'Food & Beverage'. It requires the VLM to interpret how 'Food & Beverage' interacts with its surroundings or how it represents a concept beyond simple object labeling, involving translation between visual cues and higher-level descriptions.","Image Context: A scene where 'Food & Beverage' is shown in a specific state or relationship (e.g., a person's expression reacting to an event, or an object placed in a symbolic arrangement). The meaning is derived from the interaction of multiple elements.

Question: Considering the overall context and the specific role of 'Food & Beverage' in this image, what is the most accurate conclusion about its significance?

(A) It serves a purely functional role with no impact on the scene's narrative.

(B) Its current state or position provides a key cue to the underlying message or emotion being conveyed.

(C) It represents a direct contradiction to the typical use of such an item in this setting.

(D) It is an auxiliary detail that provides environmental context but no semantic information.",
Understand -> Compositional Object Recognition -> Core Object Recognition,Vehicles,"Interprets the situational context or mechanical state of a vehicle. This goes beyond naming the car to understanding its behavior in the scene (e.g., emergency status, parking violation, or mechanical failure).","Image Context: A car stopped on the shoulder of a highway with its hood popped open and white vapor rising from the engine. Question: Based on the visual evidence, what is the most likely reason for the vehicle's current position? (A) The driver is performing a routine tire change. (B) The vehicle has experienced an engine overheat or failure. (C) The vehicle is parked legally for a rest stop. (D) The vehicle is preparing to enter a race.",
Understand -> Compositional Object Recognition -> Core Object Recognition,Arts,"This task measures the model's comprehension of the semantic and contextual meaning of 'Arts'. It requires the VLM to interpret how 'Arts' interacts with its surroundings or how it represents a concept beyond simple object labeling, involving translation between visual cues and higher-level descriptions.","Image Context: A scene where 'Arts' is shown in a specific state or relationship (e.g., a person's expression reacting to an event, or an object placed in a symbolic arrangement). The meaning is derived from the interaction of multiple elements.

Question: Considering the overall context and the specific role of 'Arts' in this image, what is the most accurate conclusion about its significance?

(A) It serves a purely functional role with no impact on the scene's narrative.

(B) Its current state or position provides a key cue to the underlying message or emotion being conveyed.

(C) It represents a direct contradiction to the typical use of such an item in this setting.

(D) It is an auxiliary detail that provides environmental context but no semantic information.",
Understand -> Compositional Object Recognition -> Core Object Recognition,Indoor Scenes,"This task measures the model's comprehension of the semantic and contextual meaning of 'Indoor Scenes'. It requires the VLM to interpret how 'Indoor Scenes' interacts with its surroundings or how it represents a concept beyond simple object labeling, involving translation between visual cues and higher-level descriptions.","Image Context: A scene where 'Indoor Scenes' is shown in a specific state or relationship (e.g., a person's expression reacting to an event, or an object placed in a symbolic arrangement). The meaning is derived from the interaction of multiple elements.

Question: Considering the overall context and the specific role of 'Indoor Scenes' in this image, what is the most accurate conclusion about its significance?

(A) It serves a purely functional role with no impact on the scene's narrative.

(B) Its current state or position provides a key cue to the underlying message or emotion being conveyed.

(C) It represents a direct contradiction to the typical use of such an item in this setting.

(D) It is an auxiliary detail that provides environmental context but no semantic information.",
Understand -> Compositional Object Recognition -> Core Object Recognition,Outdoor Scenes,"This task measures the model's comprehension of the semantic and contextual meaning of 'Outdoor Scenes'. It requires the VLM to interpret how 'Outdoor Scenes' interacts with its surroundings or how it represents a concept beyond simple object labeling, involving translation between visual cues and higher-level descriptions.","Image Context: A scene where 'Outdoor Scenes' is shown in a specific state or relationship (e.g., a person's expression reacting to an event, or an object placed in a symbolic arrangement). The meaning is derived from the interaction of multiple elements.

Question: Considering the overall context and the specific role of 'Outdoor Scenes' in this image, what is the most accurate conclusion about its significance?

(A) It serves a purely functional role with no impact on the scene's narrative.

(B) Its current state or position provides a key cue to the underlying message or emotion being conveyed.

(C) It represents a direct contradiction to the typical use of such an item in this setting.

(D) It is an auxiliary detail that provides environmental context but no semantic information.",
Understand -> Compositional Object Recognition -> Core Object Recognition,Clothing & Accessories,"This task measures the model's comprehension of the semantic and contextual meaning of 'Clothing & Accessories'. It requires the VLM to interpret how 'Clothing & Accessories' interacts with its surroundings or how it represents a concept beyond simple object labeling, involving translation between visual cues and higher-level descriptions.","Image Context: A scene where 'Clothing & Accessories' is shown in a specific state or relationship (e.g., a person's expression reacting to an event, or an object placed in a symbolic arrangement). The meaning is derived from the interaction of multiple elements.

Question: Considering the overall context and the specific role of 'Clothing & Accessories' in this image, what is the most accurate conclusion about its significance?

(A) It serves a purely functional role with no impact on the scene's narrative.

(B) Its current state or position provides a key cue to the underlying message or emotion being conveyed.

(C) It represents a direct contradiction to the typical use of such an item in this setting.

(D) It is an auxiliary detail that provides environmental context but no semantic information.",
Understand -> Compositional Object Recognition -> Core Object Recognition,Produce & Plants,"This task measures the model's comprehension of the semantic and contextual meaning of 'Produce & Plants'. It requires the VLM to interpret how 'Produce & Plants' interacts with its surroundings or how it represents a concept beyond simple object labeling, involving translation between visual cues and higher-level descriptions.","Image Context: A scene where 'Produce & Plants' is shown in a specific state or relationship (e.g., a person's expression reacting to an event, or an object placed in a symbolic arrangement). The meaning is derived from the interaction of multiple elements.

Question: Considering the overall context and the specific role of 'Produce & Plants' in this image, what is the most accurate conclusion about its significance?

(A) It serves a purely functional role with no impact on the scene's narrative.

(B) Its current state or position provides a key cue to the underlying message or emotion being conveyed.

(C) It represents a direct contradiction to the typical use of such an item in this setting.

(D) It is an auxiliary detail that provides environmental context but no semantic information.",
Understand -> Compositional Object Recognition -> Core Object Recognition,People,"This task measures the model's comprehension of the semantic and contextual meaning of 'People'. It requires the VLM to interpret how 'People' interacts with its surroundings or how it represents a concept beyond simple object labeling, involving translation between visual cues and higher-level descriptions.","Image Context: A scene where 'People' is shown in a specific state or relationship (e.g., a person's expression reacting to an event, or an object placed in a symbolic arrangement). The meaning is derived from the interaction of multiple elements.

Question: Considering the overall context and the specific role of 'People' in this image, what is the most accurate conclusion about its significance?

(A) It serves a purely functional role with no impact on the scene's narrative.

(B) Its current state or position provides a key cue to the underlying message or emotion being conveyed.

(C) It represents a direct contradiction to the typical use of such an item in this setting.

(D) It is an auxiliary detail that provides environmental context but no semantic information.",
Understand -> Compositional Object Recognition -> Core Object Recognition,Animals,"Evaluates the VLM's understanding of animal behavior and their relationship to the environment. It requires the model to interpret 'what' the animal is doing or its current state (e.g., hunting, sleeping, or acting defensively).","Image Context: A dog standing near a door with a leash in its mouth, tail wagging, looking up at a coat rack. Question: Considering the dog's behavior and the objects nearby, what is the most plausible interpretation of the dog's intent? (A) It is guarding the house from an intruder. (B) It is signaling that it wants to go for a walk. (C) It is displaying signs of aggression toward the leash. (D) It is preparing to go to sleep.",
Understand -> Compositional Object Recognition -> Core Object Recognition,Common Objects,"This task measures the model's comprehension of the semantic and contextual meaning of 'Common Objects'. It requires the VLM to interpret how 'Common Objects' interacts with its surroundings or how it represents a concept beyond simple object labeling, involving translation between visual cues and higher-level descriptions.","Image Context: A scene where 'Common Objects' is shown in a specific state or relationship (e.g., a person's expression reacting to an event, or an object placed in a symbolic arrangement). The meaning is derived from the interaction of multiple elements.

Question: Considering the overall context and the specific role of 'Common Objects' in this image, what is the most accurate conclusion about its significance?

(A) It serves a purely functional role with no impact on the scene's narrative.

(B) Its current state or position provides a key cue to the underlying message or emotion being conveyed.

(C) It represents a direct contradiction to the typical use of such an item in this setting.

(D) It is an auxiliary detail that provides environmental context but no semantic information.",
Understand -> Compositional Object Recognition -> Attribute Recognition,Color,"This task measures the model's comprehension of why a specific  'Color' is present or what it signifies in a functional setting. It requires the model to interpret the relationship between the attribute and the overall scene context (e.g., a red light meaning 'stop' rather than just 'red').","Image Context: A complex scene where the Color serves a specific purpose (e.g., a bright yellow [Color] used for a safety vest in a construction zone). Question: Based on the surrounding environment, what is the primary significance of the Color shown on the central subject? (A) It is used to enhance visibility for safety. (B) It is a purely decorative choice with no function. (C) It indicates the object is broken. (D) It is used to camouflage the subject.",
Understand -> Compositional Object Recognition -> Attribute Recognition,Shape,"Tests the model's ability to interpret the functional or symbolic meaning of a shape. For example, recognizing that a hexagonal red shape signifies a 'stop' command or that an arrow shape indicates direction.","""Image Context: A floor plan or map where various rooms are marked with different geometric shapes (e.g., a blue square for 'Exits'). Question: In this specific visual system, what does the presence of a blue square signify to the viewer? (A) It is a purely decorative tile. (B) It indicates the location of a designated exit point. (C) It marks a hazard zone. (D) It represents the center of the building.",
Understand -> Compositional Object Recognition -> Attribute Recognition,Size,"This task measures the model's comprehension of the semantic and contextual meaning of 'Size'. It requires the VLM to interpret how 'Size' interacts with its surroundings or how it represents a concept beyond simple object labeling, involving translation between visual cues and higher-level descriptions.","Image Context: A scene where 'Size' is shown in a specific state or relationship (e.g., a person's expression reacting to an event, or an object placed in a symbolic arrangement). The meaning is derived from the interaction of multiple elements.

Question: Considering the overall context and the specific role of 'Size' in this image, what is the most accurate conclusion about its significance?

(A) It serves a purely functional role with no impact on the scene's narrative.

(B) Its current state or position provides a key cue to the underlying message or emotion being conveyed.

(C) It represents a direct contradiction to the typical use of such an item in this setting.

(D) It is an auxiliary detail that provides environmental context but no semantic information.",
Understand -> Compositional Object Recognition -> Attribute Recognition,Texture,"This task measures the model's comprehension of the semantic and contextual meaning of 'Texture'. It requires the VLM to interpret how 'Texture' interacts with its surroundings or how it represents a concept beyond simple object labeling, involving translation between visual cues and higher-level descriptions.","Image Context: A scene where 'Texture' is shown in a specific state or relationship (e.g., a person's expression reacting to an event, or an object placed in a symbolic arrangement). The meaning is derived from the interaction of multiple elements.

Question: Considering the overall context and the specific role of 'Texture' in this image, what is the most accurate conclusion about its significance?

(A) It serves a purely functional role with no impact on the scene's narrative.

(B) Its current state or position provides a key cue to the underlying message or emotion being conveyed.

(C) It represents a direct contradiction to the typical use of such an item in this setting.

(D) It is an auxiliary detail that provides environmental context but no semantic information.",
Understand -> Compositional Object Recognition -> Attribute Recognition,Artistic Style,Measures the VLM's ability to categorize the 'mood' or 'intent' conveyed by an artistic style. It asks how the style affects the interpretation of the subject matter.,"Image Context: A portrait of a city street rendered in a dark, 'Film Noir' style with high-contrast shadows and rain-slicked pavement. Question: How does the chosen artistic style contribute to the overall mood of the scene? (A) It creates a cheerful and sunny atmosphere. (B) It evokes a sense of mystery, tension, or gloom. (C) It suggests a futuristic and high-tech setting. (D) It makes the scene look like a children's cartoon.",
Understand -> Closed Vocabulary Object Detection,Closed Vocabulary Object Detection,"This task tests the VLM's ability to selectively search for and verify the presence of a specific, pre-defined list of items within a complex or cluttered scene. It requires the model to filter out non-target objects and perform precise categorical verification.","Image Context: A tabletop covered in various office supplies (pens, stapler, paperclips) and kitchen items (spoon, mug). Question: From the following list [Stapler, Spoon, Battery, Watch], which items are visually present in the image? (A) Stapler and Spoon (B) Stapler and Watch (C) All of them (D) Only the mug.",
Understand ,Categorical Subsumption,"Tests categorizing a specific object into a broader conceptual hierarchy (e.g., Wrench -> Plumbing Tool).","""Image: A specific tool. Q: Which category does this belong to? (A) Carpentry (B) Plumbing (C) Electrical (D) Automotive""",
Understand -> Lingual Expression Alternation,Direct (synonym),This task requires the VLM to map indirect linguistic descriptions or conceptual changes to specific visual pixels. It tests the model's ability to 'translate' between non-literal text (like an idiom) and the physical evidence in the image.,"""Image Context: A high-resolution photo of a very old, weathered wooden bucket sitting next to a modern well. The prompt uses the word 'pail' instead of 'bucket.' Question: The scene contains an aged 'pail' used for water retrieval. Which visual detail confirms the item's identity despite its specialized name? (A) The cylindrical shape and the presence of a metal handle at the top. (B) The reflection of the sun on the water inside the well. (C) The modern design of the well's crank mechanism. (D) The lack of any objects capable of holding liquid.""",
Understand -> Lingual Expression Alternation -> Indirect,Idiomatic Expressions,"""Tests the model's ability to recognize a visual 'grounding' of an abstract idiom. The model must understand that the literal objects in the image (e.g., a 'cold shoulder' or 'spilled milk') represent a non-literal social or emotional concept.""","""Image Context: A wide-angle shot of two people at a dinner table. One person is leaning forward to talk, while the other has their back turned completely, looking out a window with a stern expression. Question: Which common idiomatic expression is visually 'enacted' by the character on the right side of the frame? (A) 'Giving someone the cold shoulder' through their physical orientation and avoidance. (B) 'A piece of cake' due to the dessert placed in the center of the table. (C) 'Crying over spilled milk' indicated by the glass on the floor. (D) 'Walking on eggshells' as shown by the person's careful posture.""",
Understand -> Lingual Expression Alternation -> Indirect,Entity or Concept Identification from Description,"""Assesses the model's ability to find a specific object based on a descriptive, functional definition rather than a simple name. This forces the VLM to analyze 'what an object does' rather than just 'what it is called.'""","""Image Context: A complex surgical room or workshop with dozens of specialized instruments. The question describes an object as 'a tool used for applying precise, localized heat to fuse metal components.' Question: Based on the functional description provided, identify the specific entity in the scene being referred to. (A) The handheld soldering iron being gripped by the technician. (B) The overhead LED lighting array. (C) The protective goggles resting on the workbench. (D) The digital monitor displaying the system vitals.""",
Understand -> Lingual Expression Alternation -> Indirect,Passive Sentence Interpretation,"""Evaluates if the VLM can correctly assign 'roles' (Subject vs. Object) when the language is passive. This ensures the model isn't just detecting keywords but understands the direction of the action (e.g., 'The dog was chased by the cat').""","""Image Context: A clear action shot where a large wave is crashing over a small lighthouse on a rocky cliff. Question: Consider the sentence: 'The coastal structure is being engulfed by the rising tide.' Which visual element serves as the 'patient' (the one being acted upon) in this passive scenario? (A) The lighthouse, which is stationary and receiving the impact. (B) The ocean water, which is the primary source of the motion. (C) The birds flying away from the storm in the background. (D) The sun setting behind the clouds.""",
Understand -> Visual Alternation,Object Changes,"""Tests the model's ability to interpret the 'before and after' logic or the transformation of an object. It requires the model to understand the state of an object as a result of a specific change (e.g., melting, breaking, or being assembled).""","""Image Context: An image of a candle that has almost entirely burned down, with a large pool of dried wax at its base and a very short, blackened wick. Question: Based on the current physical state of the object, what is the primary visual evidence of the 'change' it has undergone? (A) The accumulated wax at the base, indicating long-term combustion and melting. (B) The height of the table on which the candle is placed. (C) The color of the unburned wax remaining in the center. (D) The fact that the candle is currently unlit.""",
Understand,Facial & Emotional Understanding,"This task measures the model's comprehension of the semantic and contextual meaning of 'Facial & Emotional Understanding'. It requires the VLM to interpret how 'Facial & Emotional Understanding' interacts with its surroundings or how it represents a concept beyond simple object labeling, involving translation between visual cues and higher-level descriptions.","Image Context: A scene where 'Facial & Emotional Understanding' is shown in a specific state or relationship (e.g., a person's expression reacting to an event, or an object placed in a symbolic arrangement). The meaning is derived from the interaction of multiple elements.

Question: Considering the overall context and the specific role of 'Facial & Emotional Understanding' in this image, what is the most accurate conclusion about its significance?

(A) It serves a purely functional role with no impact on the scene's narrative.

(B) Its current state or position provides a key cue to the underlying message or emotion being conveyed.

(C) It represents a direct contradiction to the typical use of such an item in this setting.

(D) It is an auxiliary detail that provides environmental context but no semantic information.",
Understand,Semantic Understanding (Knowledge),"This task measures the model's comprehension of the semantic and contextual meaning of 'Semantic Understanding (Knowledge)'. It requires the VLM to interpret how 'Semantic Understanding (Knowledge)' interacts with its surroundings or how it represents a concept beyond simple object labeling, involving translation between visual cues and higher-level descriptions.","Image Context: A scene where 'Semantic Understanding (Knowledge)' is shown in a specific state or relationship (e.g., a person's expression reacting to an event, or an object placed in a symbolic arrangement). The meaning is derived from the interaction of multiple elements.

Question: Considering the overall context and the specific role of 'Semantic Understanding (Knowledge)' in this image, what is the most accurate conclusion about its significance?

(A) It serves a purely functional role with no impact on the scene's narrative.

(B) Its current state or position provides a key cue to the underlying message or emotion being conveyed.

(C) It represents a direct contradiction to the typical use of such an item in this setting.

(D) It is an auxiliary detail that provides environmental context but no semantic information.",
Apply -> Basic Logic Operation,Word Order Understanding,"This task tests the VLM's ability to apply external rules, procedures, or formulas to a visual scenario involving 'Word Order Understanding'. The model must extract precise values or states from the image and process them through the logic of 'Word Order Understanding' to solve a problem or predict a physical/procedural outcome.","Image Context: A visual setup (e.g., a machine, a clock, or a scientific diagram) where 'Word Order Understanding' defines the logic or rule to be applied. The image contains all the necessary data points required to reach a specific answer using that rule.

Question: Applying the principles or rules of 'Word Order Understanding' to the visual variables presented in this image, what is the correct resulting state or value?

(A) The state that results from a literal interpretation without applying the rule.

(B) The precise outcome reached by correctly implementing the 'Word Order Understanding' procedure to the visual data.

(C) A state that would be reached if a different, unrelated rule was applied.

(D) An impossible outcome that violates the visual constraints of the scene.",
Apply -> Basic Logic Operation,Negation Understanding,"This task tests the VLM's ability to apply external rules, procedures, or formulas to a visual scenario involving 'Negation Understanding'. The model must extract precise values or states from the image and process them through the logic of 'Negation Understanding' to solve a problem or predict a physical/procedural outcome.","Image Context: A visual setup (e.g., a machine, a clock, or a scientific diagram) where 'Negation Understanding' defines the logic or rule to be applied. The image contains all the necessary data points required to reach a specific answer using that rule.

Question: Applying the principles or rules of 'Negation Understanding' to the visual variables presented in this image, what is the correct resulting state or value?

(A) The state that results from a literal interpretation without applying the rule.

(B) The precise outcome reached by correctly implementing the 'Negation Understanding' procedure to the visual data.

(C) A state that would be reached if a different, unrelated rule was applied.

(D) An impossible outcome that violates the visual constraints of the scene.",
Apply -> Basic Logic Operation,Coordination Interpretation,"This task tests the VLM's ability to apply external rules, procedures, or formulas to a visual scenario involving 'Coordination Interpretation'. The model must extract precise values or states from the image and process them through the logic of 'Coordination Interpretation' to solve a problem or predict a physical/procedural outcome.","Image Context: A visual setup (e.g., a machine, a clock, or a scientific diagram) where 'Coordination Interpretation' defines the logic or rule to be applied. The image contains all the necessary data points required to reach a specific answer using that rule.

Question: Applying the principles or rules of 'Coordination Interpretation' to the visual variables presented in this image, what is the correct resulting state or value?

(A) The state that results from a literal interpretation without applying the rule.

(B) The precise outcome reached by correctly implementing the 'Coordination Interpretation' procedure to the visual data.

(C) A state that would be reached if a different, unrelated rule was applied.

(D) An impossible outcome that violates the visual constraints of the scene.",
Apply,Conceptual Understanding (changing one at a time - non-typical),"This task tests the VLM's ability to apply external rules, procedures, or formulas to a visual scenario involving 'Conceptual Understanding (changing one at a time - non-typical)'. The model must extract precise values or states from the image and process them through the logic of 'Conceptual Understanding (changing one at a time - non-typical)' to solve a problem or predict a physical/procedural outcome.","Image Context: A visual setup (e.g., a machine, a clock, or a scientific diagram) where 'Conceptual Understanding (changing one at a time - non-typical)' defines the logic or rule to be applied. The image contains all the necessary data points required to reach a specific answer using that rule.

Question: Applying the principles or rules of 'Conceptual Understanding (changing one at a time - non-typical)' to the visual variables presented in this image, what is the correct resulting state or value?

(A) The state that results from a literal interpretation without applying the rule.

(B) The precise outcome reached by correctly implementing the 'Conceptual Understanding (changing one at a time - non-typical)' procedure to the visual data.

(C) A state that would be reached if a different, unrelated rule was applied.

(D) An impossible outcome that violates the visual constraints of the scene.",
Apply,Spatial reasoning,"This task tests the VLM's ability to apply external rules, procedures, or formulas to a visual scenario involving 'Spatial reasoning'. The model must extract precise values or states from the image and process them through the logic of 'Spatial reasoning' to solve a problem or predict a physical/procedural outcome.","Image Context: A visual setup (e.g., a machine, a clock, or a scientific diagram) where 'Spatial reasoning' defines the logic or rule to be applied. The image contains all the necessary data points required to reach a specific answer using that rule.

Question: Applying the principles or rules of 'Spatial reasoning' to the visual variables presented in this image, what is the correct resulting state or value?

(A) The state that results from a literal interpretation without applying the rule.

(B) The precise outcome reached by correctly implementing the 'Spatial reasoning' procedure to the visual data.

(C) A state that would be reached if a different, unrelated rule was applied.

(D) An impossible outcome that violates the visual constraints of the scene.",
Apply,Physics-Based Spatial Reasoning,"Predict the physical outcome or stability resulting from the spatial arrangement (e.g., applying gravity rules).","""Image: Stack of blocks. Q: If the bottom block is removed, what happens? (A) Stable (B) Fall left (C) Collapse (D) Top falls""",
Apply,Object Counting,"This task tests the VLM's ability to apply external rules, procedures, or formulas to a visual scenario involving 'Object Counting'. The model must extract precise values or states from the image and process them through the logic of 'Object Counting' to solve a problem or predict a physical/procedural outcome.","Image Context: A visual setup (e.g., a machine, a clock, or a scientific diagram) where 'Object Counting' defines the logic or rule to be applied. The image contains all the necessary data points required to reach a specific answer using that rule.

Question: Applying the principles or rules of 'Object Counting' to the visual variables presented in this image, what is the correct resulting state or value?

(A) The state that results from a literal interpretation without applying the rule.

(B) The precise outcome reached by correctly implementing the 'Object Counting' procedure to the visual data.

(C) A state that would be reached if a different, unrelated rule was applied.

(D) An impossible outcome that violates the visual constraints of the scene.",
Apply,Constraint-Based Counting,"Requires the VLM to apply a specific filter or condition before counting (e.g., 'How many vehicles are parked illegally?'), testing rule application.","""Image: Street with cars. Q: How many cars are blocking the sidewalk? (A) 1 (B) 2 (C) 3 (D) 4""",
Apply,Open Vocabulary Object Detection,"This task tests the VLM's ability to apply external rules, procedures, or formulas to a visual scenario involving 'Open Vocabulary Object Detection'. The model must extract precise values or states from the image and process them through the logic of 'Open Vocabulary Object Detection' to solve a problem or predict a physical/procedural outcome.","Image Context: A visual setup (e.g., a machine, a clock, or a scientific diagram) where 'Open Vocabulary Object Detection' defines the logic or rule to be applied. The image contains all the necessary data points required to reach a specific answer using that rule.

Question: Applying the principles or rules of 'Open Vocabulary Object Detection' to the visual variables presented in this image, what is the correct resulting state or value?

(A) The state that results from a literal interpretation without applying the rule.

(B) The precise outcome reached by correctly implementing the 'Open Vocabulary Object Detection' procedure to the visual data.

(C) A state that would be reached if a different, unrelated rule was applied.

(D) An impossible outcome that violates the visual constraints of the scene.",
Apply,Clock Reading,"This task tests the VLM's ability to apply external rules, procedures, or formulas to a visual scenario involving 'Clock Reading'. The model must extract precise values or states from the image and process them through the logic of 'Clock Reading' to solve a problem or predict a physical/procedural outcome.","Image Context: A visual setup (e.g., a machine, a clock, or a scientific diagram) where 'Clock Reading' defines the logic or rule to be applied. The image contains all the necessary data points required to reach a specific answer using that rule.

Question: Applying the principles or rules of 'Clock Reading' to the visual variables presented in this image, what is the correct resulting state or value?

(A) The state that results from a literal interpretation without applying the rule.

(B) The precise outcome reached by correctly implementing the 'Clock Reading' procedure to the visual data.

(C) A state that would be reached if a different, unrelated rule was applied.

(D) An impossible outcome that violates the visual constraints of the scene.",
Apply,Procedural Step Following,"This task tests the VLM's ability to apply external rules, procedures, or formulas to a visual scenario involving 'Procedural Step Following'. The model must extract precise values or states from the image and process them through the logic of 'Procedural Step Following' to solve a problem or predict a physical/procedural outcome.","Image Context: A visual setup (e.g., a machine, a clock, or a scientific diagram) where 'Procedural Step Following' defines the logic or rule to be applied. The image contains all the necessary data points required to reach a specific answer using that rule.

Question: Applying the principles or rules of 'Procedural Step Following' to the visual variables presented in this image, what is the correct resulting state or value?

(A) The state that results from a literal interpretation without applying the rule.

(B) The precise outcome reached by correctly implementing the 'Procedural Step Following' procedure to the visual data.

(C) A state that would be reached if a different, unrelated rule was applied.

(D) An impossible outcome that violates the visual constraints of the scene.",
Apply,Applying a Scientific Concept,"This task tests the VLM's ability to apply external rules, procedures, or formulas to a visual scenario involving 'Applying a Scientific Concept'. The model must extract precise values or states from the image and process them through the logic of 'Applying a Scientific Concept' to solve a problem or predict a physical/procedural outcome.","Image Context: A visual setup (e.g., a machine, a clock, or a scientific diagram) where 'Applying a Scientific Concept' defines the logic or rule to be applied. The image contains all the necessary data points required to reach a specific answer using that rule.

Question: Applying the principles or rules of 'Applying a Scientific Concept' to the visual variables presented in this image, what is the correct resulting state or value?

(A) The state that results from a literal interpretation without applying the rule.

(B) The precise outcome reached by correctly implementing the 'Applying a Scientific Concept' procedure to the visual data.

(C) A state that would be reached if a different, unrelated rule was applied.

(D) An impossible outcome that violates the visual constraints of the scene.",
Apply,Applying a Design Principle,"This task tests the VLM's ability to apply external rules, procedures, or formulas to a visual scenario involving 'Applying a Design Principle'. The model must extract precise values or states from the image and process them through the logic of 'Applying a Design Principle' to solve a problem or predict a physical/procedural outcome.","Image Context: A visual setup (e.g., a machine, a clock, or a scientific diagram) where 'Applying a Design Principle' defines the logic or rule to be applied. The image contains all the necessary data points required to reach a specific answer using that rule.

Question: Applying the principles or rules of 'Applying a Design Principle' to the visual variables presented in this image, what is the correct resulting state or value?

(A) The state that results from a literal interpretation without applying the rule.

(B) The precise outcome reached by correctly implementing the 'Applying a Design Principle' procedure to the visual data.

(C) A state that would be reached if a different, unrelated rule was applied.

(D) An impossible outcome that violates the visual constraints of the scene.",
Apply,Applying a Mathematical Formula,"This task tests the VLM's ability to apply external rules, procedures, or formulas to a visual scenario involving 'Applying a Mathematical Formula'. The model must extract precise values or states from the image and process them through the logic of 'Applying a Mathematical Formula' to solve a problem or predict a physical/procedural outcome.","Image Context: A visual setup (e.g., a machine, a clock, or a scientific diagram) where 'Applying a Mathematical Formula' defines the logic or rule to be applied. The image contains all the necessary data points required to reach a specific answer using that rule.

Question: Applying the principles or rules of 'Applying a Mathematical Formula' to the visual variables presented in this image, what is the correct resulting state or value?

(A) The state that results from a literal interpretation without applying the rule.

(B) The precise outcome reached by correctly implementing the 'Applying a Mathematical Formula' procedure to the visual data.

(C) A state that would be reached if a different, unrelated rule was applied.

(D) An impossible outcome that violates the visual constraints of the scene.",
Apply -> Practical Reasoning -> Tool Selection,Tool Selection,Evaluate the VLM's ability to identify a functional problem in a scene and select the most appropriate tool or object from a set of options to resolve it. Requires understanding of object utility beyond simple naming.,Image: A flat tire on a car. Question: Which item is essential to address the primary issue shown? (A) Screwdriver (B) Spare tire and jack (C) Hammer (D) Bicycle pump,
